student_id,week,attendance_rate,absence_count,consecutive_absence,late_count,assignment_submission_rate,overdue_assignment_count,lms_login_days,lms_activity_change,video_completion_rate,quiz_score
S0014,1,97.80,0,0,1,89.10,0,6,0.80,94.40,100.00
S0014,2,95.90,0,0,1,93.80,0,7,-0.50,100.00,100.00
S0014,3,96.70,0,0,1,95.90,0,7,-1.40,91.70,77.60
S0014,4,95.60,1,0,0,93.20,0,5,-1.00,91.70,76.70
S0015,1,96.00,1,0,0,86.70,1,5,-12.30,78.80,73.90
S0015,2,95.90,1,0,0,82.40,1,3,-19.60,71.90,72.80
S0015,3,92.90,2,0,1,82.60,1,3,-40.40,71.20,83.20
S0015,4,94.90,1,0,0,84.80,2,1,-19.50,74.20,63.40
S0016,1,99.80,0,0,0,93.70,0,6,2.10,96.60,75.80
S0016,2,98.60,0,0,2,91.50,1,6,2.50,96.50,100.00
S0016,3,94.10,1,0,0,93.10,0,6,5.90,92.70,86.80
S0016,4,96.20,0,0,1,93.50,0,5,-6.60,100.00,85.80
S0017,1,96.00,0,0,0,93.70,0,5,11.10,96.30,88.90
S0017,2,94.90,0,0,1,98.80,0,5,-13.50,93.50,93.80
S0017,3,96.10,1,0,1,97.40,0,7,17.00,100.00,90.80
S0017,4,94.10,0,0,1,100.00,0,6,-8.40,94.80,77.40
S0018,1,98.20,1,0,0,100.00,0,7,-7.80,94.90,97.50
S0018,2,97.50,0,0,0,94.30,0,5,5.60,100.00,88.60
S0018,3,94.80,0,0,0,94.50,1,4,-3.20,90.60,91.40
S0018,4,100.00,0,0,1,94.50,0,6,-5.10,94.70,97.70
S0019,1,97.10,0,0,0,92.20,0,6,10.80,92.50,89.20
S0019,2,100.00,0,0,0,94.40,0,6,8.10,94.70,85.30
S0019,3,95.00,1,0,1,88.80,0,6,-8.60,96.80,75.30
S0019,4,97.40,1,0,1,91.90,1,6,4.00,96.50,93.10
S0020,1,97.40,1,0,0,93.60,1,4,-1.60,95.10,92.90
S0020,2,93.30,0,0,1,87.30,0,4,-4.60,91.00,71.10
S0020,3,94.70,0,0,0,95.10,1,5,3.90,84.10,77.10
S0020,4,96.60,1,0,0,76.50,0,6,1.00,79.00,73.80
S0021,1,95.90,0,0,0,94.20,0,6,5.40,99.70,94.90
S0021,2,95.90,1,0,1,95.60,0,6,1.10,89.70,82.30
S0021,3,97.90,1,0,0,92.10,0,5,8.80,90.90,89.30
S0021,4,96.70,0,0,0,93.00,0,5,2.50,88.70,79.10
S0022,1,94.40,1,0,0,93.60,0,5,13.90,92.90,87.90
S0022,2,95.00,2,0,0,95.20,0,4,10.80,87.40,89.10
S0022,3,94.90,0,0,0,93.20,0,7,-13.70,98.80,72.90
S0022,4,96.70,0,0,0,100.00,1,7,-1.00,88.00,86.10
S0023,1,97.80,0,0,0,99.10,0,7,4.30,100.00,88.20
S0023,2,96.90,0,0,0,89.00,0,7,-3.30,89.60,74.60
S0023,3,96.00,0,0,1,92.60,0,4,-1.50,91.90,81.70
S0023,4,97.30,1,0,0,94.90,0,6,1.60,89.20,75.30
S0024,1,95.40,2,0,2,96.40,0,6,-5.30,90.50,92.20
S0024,2,96.60,0,0,1,88.60,1,6,0.10,92.00,93.00
S0024,3,96.10,1,0,0,94.10,1,7,7.30,95.90,84.50
S0024,4,97.20,1,0,0,90.40,0,6,5.00,92.50,83.30
S0025,1,92.60,0,0,1,68.40,1,4,-14.40,70.70,52.70
S0025,2,88.70,1,1,1,60.50,1,4,-19.40,68.30,59.50
S0025,3,84.10,2,1,2,65.10,1,3,-31.50,67.40,62.40
S0025,4,83.00,3,3,2,56.70,1,1,-31.60,61.60,59.80
S0026,1,97.30,0,0,0,84.60,1,6,-9.00,80.80,82.40
S0026,2,93.60,2,0,0,93.60,0,5,0.50,93.10,77.10
S0026,3,94.80,2,0,1,88.70,1,4,-5.30,90.80,86.70
S0026,4,96.90,1,0,0,84.10,1,4,4.00,93.00,83.60
S0027,1,87.00,1,1,1,89.90,1,4,-2.80,85.10,65.40
S0027,2,93.10,0,0,0,88.10,1,5,-1.40,84.40,78.90
S0027,3,87.40,1,1,1,92.00,1,6,-6.50,91.50,85.10
S0027,4,81.90,2,2,2,92.40,0,3,9.70,83.60,91.50
S0028,1,95.00,1,0,1,99.90,0,7,11.30,94.90,89.40
S0028,2,95.70,1,0,0,92.30,0,5,-7.70,94.50,84.80
S0028,3,93.60,1,0,1,99.00,0,6,10.40,92.70,81.50
S0028,4,94.90,1,0,0,92.80,0,6,4.10,100.00,98.30
S0029,1,97.60,1,0,0,97.10,0,5,-4.40,98.80,75.80
S0029,2,100.00,0,0,0,91.80,0,5,5.40,90.90,87.00
S0029,3,95.10,1,0,0,98.20,0,5,8.70,89.00,78.30
S0029,4,94.80,1,0,1,92.30,0,5,5.20,90.30,85.00
S0030,1,90.10,1,0,0,77.20,1,5,-7.50,77.80,53.60
S0030,2,83.60,3,0,1,80.40,2,3,-21.30,72.00,57.70
S0030,3,75.30,2,1,5,78.40,0,2,-22.10,68.50,64.00
S0030,4,77.50,3,3,2,57.60,2,3,-31.40,58.60,64.60
S0031,1,86.60,3,0,2,89.20,1,5,0.30,88.80,81.40
S0031,2,90.00,1,1,2,95.30,0,4,-10.10,94.30,75.10
S0031,3,85.80,3,2,1,83.90,1,4,0.10,79.10,69.90
S0031,4,80.10,3,3,3,92.60,0,4,-15.60,78.20,76.60
S0032,1,96.10,1,0,0,87.90,0,4,-9.40,78.00,84.80
S0032,2,95.90,0,0,0,81.00,1,5,-11.30,74.60,65.20
S0032,3,97.60,0,0,0,71.60,1,4,-36.40,66.90,78.00
S0032,4,90.50,1,0,2,72.30,1,3,-33.00,71.20,62.70
S0033,1,98.30,1,0,0,89.70,0,5,4.60,91.30,81.00
S0033,2,98.40,1,0,0,98.70,0,5,5.70,90.80,84.10
S0033,3,95.70,1,0,0,87.60,1,6,0.40,95.50,84.30
S0033,4,95.50,1,0,1,95.80,0,6,11.80,89.90,85.60
S0034,1,97.60,0,0,0,91.90,0,6,-3.60,87.80,69.50
S0034,2,94.20,1,1,1,86.90,0,4,-1.00,84.10,90.80
S0034,3,93.20,1,0,0,86.20,0,6,-1.60,92.80,70.60
S0034,4,94.60,1,0,2,89.40,0,5,-0.20,85.10,91.00
S0035,1,97.40,0,0,0,92.80,0,3,6.80,89.40,80.70
S0035,2,94.00,1,1,0,92.50,0,7,5.60,97.00,88.10
S0035,3,95.20,1,0,0,92.00,0,5,9.20,97.00,94.20
S0035,4,98.10,0,0,0,98.70,0,5,-14.70,83.30,88.30
S0036,1,92.90,0,0,0,98.30,0,6,2.90,88.60,89.00
S0036,2,97.00,0,0,0,95.90,0,4,-13.90,92.90,96.60
S0036,3,96.50,0,0,0,97.00,0,5,-11.30,95.90,82.00
S0036,4,98.20,0,0,0,92.90,1,7,6.00,98.50,92.30
S0037,1,90.80,1,0,1,87.90,0,5,-7.50,88.70,78.00
S0037,2,94.30,1,0,2,74.80,0,5,-7.30,73.20,84.90
S0037,3,94.90,0,0,1,75.70,1,2,-18.00,76.70,69.50
S0037,4,94.60,0,0,1,70.80,2,1,-44.00,68.80,61.50
S0038,1,95.90,1,1,1,93.60,0,7,-6.70,96.20,88.60
S0038,2,93.40,0,0,0,98.70,0,5,7.60,92.60,78.20
S0038,3,95.90,1,0,0,100.00,0,6,-0.40,91.90,100.00
S0038,4,96.30,1,0,0,93.50,0,5,7.30,96.90,85.00
S0039,1,98.20,0,0,2,97.20,0,6,4.00,98.90,76.40
S0039,2,95.50,1,0,0,97.10,1,4,-0.50,84.10,78.40
S0039,3,95.50,0,0,0,81.10,0,5,-5.90,88.40,78.30
S0039,4,94.90,1,0,0,91.90,1,6,0.30,85.70,70.00
S0040,1,99.80,1,1,0,92.20,1,6,9.90,97.20,93.80
S0040,2,96.80,0,0,0,97.30,0,5,-3.30,89.90,78.90
S0040,3,97.50,1,0,0,96.50,0,6,6.80,93.20,87.60
S0040,4,96.80,1,0,1,97.30,0,5,-3.90,87.00,86.60
S0041,1,92.50,2,1,0,88.80,1,3,-15.00,87.70,72.20
S0041,2,93.60,0,0,0,75.00,2,4,2.20,81.70,56.00
S0041,3,88.10,0,0,1,90.90,1,4,2.00,86.60,74.70
S0041,4,93.20,1,0,0,85.20,0,5,-10.90,86.20,54.10
S0042,1,96.60,0,0,2,94.00,0,5,-1.70,89.60,89.70
S0042,2,97.90,1,0,1,90.70,0,5,-6.20,95.00,87.20
S0042,3,95.50,0,0,0,100.00,0,5,14.00,97.60,93.10
S0042,4,93.20,0,0,0,93.90,0,5,2.10,87.40,81.00
S0043,1,94.00,0,0,1,95.10,2,6,4.30,94.20,92.10
S0043,2,97.80,0,0,0,94.50,0,5,-7.20,91.60,89.00
S0043,3,95.40,0,0,0,89.50,0,4,15.40,92.20,83.10
S0043,4,95.70,0,0,0,94.60,0,6,6.70,88.00,82.40
S0044,1,91.90,1,1,2,89.50,0,4,16.30,88.30,64.00
S0044,2,86.30,1,1,0,94.30,0,6,-6.10,75.60,82.00
S0044,3,83.60,2,2,1,82.80,0,6,3.70,85.20,85.30
S0044,4,80.60,2,2,3,89.10,1,4,3.40,72.70,83.60
S0045,1,99.00,1,0,0,95.10,0,4,5.20,90.20,81.40
S0045,2,97.30,0,0,0,97.50,0,5,7.20,97.10,88.90
S0045,3,97.90,1,0,0,95.00,0,5,3.90,95.70,84.70
S0045,4,98.50,0,0,0,96.70,0,5,-8.00,92.10,85.20
S0046,1,93.90,1,0,1,88.00,1,6,-6.00,89.50,76.40
S0046,2,96.40,1,0,0,92.40,0,4,-0.70,85.30,86.50
S0046,3,94.10,0,0,0,92.10,0,5,7.70,86.30,92.60
S0046,4,95.30,2,0,1,91.00,1,6,-0.80,80.10,81.80
S0047,1,96.20,0,0,1,98.50,1,5,-6.20,100.00,89.20
S0047,2,99.20,0,0,1,90.70,0,6,2.30,91.90,72.10
S0047,3,97.90,0,0,0,99.00,0,5,8.40,94.80,82.50
S0047,4,94.90,0,0,1,93.50,0,5,13.90,82.10,79.90
S0048,1,94.40,0,0,0,86.30,0,4,-5.40,74.90,77.30
S0048,2,93.80,0,0,0,80.30,0,5,-24.00,79.80,76.40
S0048,3,95.40,1,0,0,70.20,1,2,-13.00,68.60,68.60
S0048,4,92.10,2,1,0,66.40,2,2,-38.40,67.10,73.50
S0049,1,96.60,0,0,0,95.80,1,5,2.10,90.90,89.90
S0049,2,97.90,0,0,0,97.20,0,6,11.50,93.10,90.10
S0049,3,93.70,1,0,0,90.70,0,5,1.40,93.30,85.40
S0049,4,98.40,0,0,0,93.50,1,5,16.50,88.60,90.50
S0050,1,91.90,0,0,1,81.60,1,5,-14.60,83.20,77.80
S0050,2,93.40,1,0,0,83.40,1,4,-3.80,66.70,57.70
S0050,3,93.50,1,0,0,88.40,2,5,-12.20,98.20,60.80
S0050,4,93.40,1,1,0,74.60,2,4,-16.30,70.70,59.10
S0051,1,92.70,0,0,1,83.80,0,6,2.40,81.10,68.60
S0051,2,93.30,2,0,0,85.20,0,6,-17.20,91.90,78.10
S0051,3,93.50,1,1,1,74.40,1,4,6.50,86.50,55.10
S0051,4,91.50,0,0,1,90.80,0,4,-10.70,86.00,61.00
S0052,1,92.50,1,0,1,94.40,0,7,2.60,98.60,81.90
S0052,2,99.10,0,0,1,100.00,0,5,0.30,90.60,88.50
S0052,3,96.20,1,0,1,89.80,0,6,10.60,85.70,86.90
S0052,4,94.60,0,0,1,97.50,0,6,3.20,94.90,89.50
S0053,1,94.10,1,0,1,89.30,0,7,5.70,94.40,84.60
S0053,2,93.70,1,0,0,94.90,0,5,-6.10,95.00,90.50
S0053,3,97.30,1,0,0,93.50,1,6,-0.60,92.20,82.50
S0053,4,96.00,0,0,0,95.70,0,5,13.60,92.10,95.80
S0054,1,95.90,0,0,0,93.20,0,7,-5.30,87.90,78.10
S0054,2,91.60,1,0,1,74.40,1,3,-14.20,79.30,69.90
S0054,3,93.00,1,0,1,72.40,2,4,-20.80,85.20,58.60
S0054,4,93.40,0,0,0,72.80,1,1,-33.40,64.10,72.40
S0055,1,99.00,1,0,0,94.60,0,5,9.90,98.50,82.00
S0055,2,95.40,0,0,0,94.70,0,6,10.60,89.20,100.00
S0055,3,95.00,0,0,0,97.70,1,5,5.00,91.60,76.10
S0055,4,95.80,0,0,0,95.50,0,5,8.70,96.70,80.80
S0056,1,95.90,1,0,0,93.00,0,6,11.20,84.60,81.00
S0056,2,94.20,0,0,1,92.90,0,5,-7.80,92.40,88.20
S0056,3,97.90,0,0,0,94.40,1,4,13.10,95.50,94.00
S0056,4,93.10,1,1,0,92.00,1,5,-3.50,94.60,76.90
S0057,1,99.10,0,0,1,96.30,0,4,5.10,94.30,88.90
S0057,2,94.90,1,0,1,93.60,1,6,-5.70,97.40,96.60
S0057,3,96.60,1,0,0,94.40,0,6,4.70,94.60,85.30
S0057,4,97.60,0,0,1,94.90,0,4,1.30,91.10,76.70
S0058,1,89.30,1,1,1,93.50,0,4,2.30,94.10,73.40
S0058,2,89.70,1,1,1,87.30,1,3,14.00,80.90,73.50
S0058,3,87.20,0,0,1,92.00,0,5,5.30,85.60,74.30
S0058,4,78.40,3,3,3,90.00,1,4,-6.60,84.00,70.80
S0059,1,99.70,0,0,1,97.50,1,5,12.20,99.00,80.70
S0059,2,98.80,0,0,0,94.80,0,5,15.40,88.60,80.90
S0059,3,99.00,0,0,0,97.90,0,4,-2.60,92.80,87.60
S0059,4,98.80,1,0,0,92.80,1,6,2.90,91.80,89.40
S0060,1,91.90,2,0,1,88.00,1,3,-0.80,84.50,55.50
S0060,2,94.50,0,0,0,83.50,0,5,-7.30,100.00,64.80
S0060,3,93.30,0,0,0,84.00,2,5,-9.90,79.10,47.30
S0060,4,96.00,1,0,0,79.40,1,5,-16.30,85.00,53.30
S0061,1,96.10,0,0,0,90.50,1,5,8.30,89.50,90.60
S0061,2,93.00,0,0,0,85.90,2,5,2.20,74.90,84.90
S0061,3,95.80,0,0,0,90.30,0,5,0.80,82.10,78.10
S0061,4,94.40,1,0,1,94.80,0,4,-11.10,87.50,85.00
S0062,1,92.10,1,0,1,84.50,0,4,5.90,83.10,72.30
S0062,2,97.20,0,0,0,86.50,0,4,0.50,81.70,65.30
S0062,3,88.70,2,0,1,81.80,1,4,-13.40,90.70,58.50
S0062,4,94.00,2,0,0,77.50,0,5,-17.10,84.70,62.40
S0063,1,97.00,0,0,1,88.00,0,5,-8.80,88.50,68.20
S0063,2,93.10,1,0,0,93.50,1,4,-5.80,91.00,71.90
S0063,3,92.90,1,0,0,81.90,0,4,-13.50,68.40,59.00
S0063,4,91.00,1,0,3,79.80,1,3,-34.10,83.60,69.60
S0064,1,94.50,0,0,1,99.50,1,5,6.20,100.00,95.10
S0064,2,95.40,1,0,1,90.60,1,6,2.20,91.90,97.20
S0064,3,98.50,0,0,1,96.20,0,6,-0.10,97.50,95.40
S0064,4,92.40,1,0,1,89.80,1,5,4.00,99.00,85.00
S0065,1,94.10,1,0,1,93.00,0,7,-3.90,90.20,97.50
S0065,2,97.60,0,0,1,90.20,1,5,-1.70,98.90,92.90
S0065,3,94.10,1,0,1,97.40,0,7,1.80,100.00,91.00
S0065,4,96.80,2,0,1,95.30,0,6,-3.40,94.60,86.20
S0066,1,97.40,0,0,0,97.40,0,4,6.30,95.20,82.40
S0066,2,97.50,0,0,0,94.80,1,6,-7.50,96.80,78.10
S0066,3,96.70,0,0,0,96.70,0,5,11.00,95.10,93.70
S0066,4,95.50,2,0,0,97.90,0,4,2.30,93.80,98.50
S0067,1,96.60,1,1,0,93.70,0,6,-2.10,100.00,78.90
S0067,2,97.30,0,0,1,95.20,0,5,0.80,86.10,81.50
S0067,3,98.50,1,1,0,93.00,0,5,2.60,88.60,89.90
S0067,4,98.30,0,0,1,94.10,0,6,-0.20,94.00,87.20
S0068,1,96.10,0,0,0,96.80,0,7,-16.00,93.90,83.90
S0068,2,94.90,1,0,0,95.90,0,5,5.40,91.50,92.30
S0068,3,100.00,1,1,0,96.00,0,7,-2.60,90.90,79.40
S0068,4,97.00,1,1,2,92.90,0,6,-0.20,96.10,95.40
S0069,1,94.20,1,1,0,79.50,2,5,-4.10,74.10,62.40
S0069,2,94.30,1,0,1,87.70,0,5,4.10,95.20,58.10
S0069,3,94.30,0,0,0,75.90,1,5,-15.70,90.70,44.20
S0069,4,92.40,0,0,0,81.70,1,5,-23.50,85.70,54.70
S0070,1,95.20,1,1,0,91.50,1,5,1.30,85.50,85.30
S0070,2,94.90,0,0,0,97.10,0,5,0.20,86.50,86.20
S0070,3,96.50,1,0,0,95.10,0,5,-4.70,97.70,74.40
S0070,4,91.30,2,0,1,86.00,1,5,-15.00,97.90,87.90
S0071,1,94.20,1,0,1,89.10,1,5,-31.70,83.80,60.80
S0071,2,87.40,1,1,0,74.20,1,2,-8.50,79.10,67.40
S0071,3,81.20,2,2,2,60.60,2,2,-42.30,77.70,61.20
S0071,4,77.60,2,2,3,66.30,2,3,-32.80,62.00,64.30
S0072,1,91.40,1,0,2,87.60,0,4,-12.50,83.30,81.70
S0072,2,98.90,1,0,0,75.40,1,3,-10.40,87.20,92.80
S0072,3,94.20,1,0,1,81.60,1,3,-20.20,62.80,99.40
S0072,4,91.50,2,0,0,79.50,1,2,-34.50,67.10,70.60
S0073,1,94.60,2,0,0,94.10,0,7,-3.20,94.40,75.40
S0073,2,98.50,0,0,0,98.30,0,5,7.10,81.60,80.40
S0073,3,96.10,0,0,0,93.10,0,4,5.90,92.70,81.40
S0073,4,95.80,1,0,0,87.20,0,4,7.70,87.50,80.50
S0074,1,95.20,1,0,0,98.30,0,6,5.20,89.10,90.00
S0074,2,97.20,0,0,0,98.60,0,5,-0.10,92.00,82.60
S0074,3,94.20,1,0,1,94.10,0,5,2.40,100.00,80.90
S0074,4,97.90,0,0,0,89.80,0,6,2.00,91.90,90.70
S0075,1,86.00,1,0,1,86.90,1,4,2.00,78.80,63.40
S0075,2,89.40,1,0,1,92.40,0,2,1.00,83.10,67.50
S0075,3,92.20,1,0,0,90.70,1,4,-11.50,96.00,51.00
S0075,4,90.40,1,0,1,78.20,0,5,-14.80,78.60,52.80
S0076,1,90.90,2,1,1,85.50,1,5,-4.70,68.80,67.50
S0076,2,86.20,2,2,2,66.40,1,3,-9.40,76.30,65.60
S0076,3,78.30,2,1,3,68.00,2,2,-35.00,67.30,51.50
S0076,4,78.50,2,2,2,60.10,2,2,-29.70,64.80,64.70
S0077,1,95.20,1,0,0,98.10,1,5,-0.00,90.00,75.40
S0077,2,95.40,2,0,1,91.20,1,4,4.70,88.10,82.90
S0077,3,98.50,0,0,0,99.30,0,6,-7.10,89.40,82.00
S0077,4,95.00,2,1,0,100.00,0,5,2.20,97.60,84.00
S0078,1,98.70,0,0,1,95.70,0,5,12.60,91.30,90.40
S0078,2,99.70,0,0,0,99.00,1,6,-8.20,100.00,92.70
S0078,3,96.20,1,1,0,95.30,0,6,-4.30,90.30,89.90
S0078,4,96.10,1,0,0,99.50,0,6,-8.50,94.80,73.70
S0079,1,94.50,1,0,0,91.90,0,6,5.80,86.80,89.80
S0079,2,98.00,0,0,1,98.70,0,5,2.30,96.80,83.20
S0079,3,98.20,0,0,0,96.60,1,6,-8.20,96.60,92.70
S0079,4,96.80,1,0,0,96.10,0,6,4.60,93.80,91.90
S0080,1,98.30,0,0,0,88.50,0,3,2.80,79.50,77.70
S0080,2,95.10,1,0,0,100.00,0,5,-4.60,87.10,81.60
S0080,3,91.20,3,0,1,90.00,0,5,4.00,92.30,81.10
S0080,4,97.90,0,0,1,89.20,1,4,-2.10,95.20,94.80
S0081,1,99.70,0,0,0,97.50,0,4,6.50,85.00,94.70
S0081,2,97.70,1,0,0,98.40,0,6,-7.10,90.50,88.70
S0081,3,96.50,0,0,0,94.70,0,7,1.80,96.70,93.50
S0081,4,100.00,0,0,0,97.30,0,6,1.90,93.70,88.50
S0082,1,98.90,0,0,1,93.80,0,4,12.40,97.40,95.50
S0082,2,95.20,0,0,1,95.80,0,6,3.00,100.00,79.20
S0082,3,97.40,1,1,0,93.30,0,6,9.60,100.00,80.70
S0082,4,97.00,0,0,0,98.70,0,6,-18.00,91.20,97.40
S0083,1,94.60,1,1,0,94.70,1,5,-4.70,80.40,67.60
S0083,2,93.40,2,0,0,75.40,2,5,-2.20,78.50,65.90
S0083,3,93.00,1,1,1,77.60,0,3,-22.30,77.90,65.90
S0083,4,97.20,0,0,1,69.50,2,3,-23.30,64.60,68.30
S0084,1,100.00,0,0,0,100.00,0,4,10.10,90.70,84.20
S0084,2,95.80,0,0,0,97.70,0,4,-0.30,95.70,78.30
S0084,3,95.90,1,0,0,93.80,1,5,5.60,87.60,84.10
S0084,4,97.80,0,0,0,93.80,0,7,5.90,96.80,75.40
S0085,1,96.60,0,0,2,92.00,0,5,5.70,78.60,84.30
S0085,2,96.50,0,0,0,91.50,0,6,-5.10,88.80,74.40
S0085,3,94.30,1,0,1,95.70,1,4,0.10,95.10,82.80
S0085,4,97.60,0,0,0,87.50,2,4,-3.50,94.10,68.20
S0086,1,92.80,2,0,1,87.70,1,5,5.00,76.80,56.80
S0086,2,92.20,1,0,0,83.90,1,4,-6.40,81.40,68.10
S0086,3,92.80,1,1,1,85.50,0,3,-10.00,80.60,48.70
S0086,4,91.90,2,0,1,84.50,1,3,-7.40,72.60,60.80
S0087,1,96.00,1,0,0,92.70,0,3,-3.40,93.40,72.20
S0087,2,92.90,1,1,0,77.50,1,4,-1.50,78.60,92.00
S0087,3,92.40,1,0,0,90.50,1,4,-7.00,86.10,88.00
S0087,4,96.60,0,0,1,93.40,0,5,2.60,83.30,88.90
S0088,1,88.70,2,1,1,86.20,0,5,-8.70,76.80,64.80
S0088,2,86.50,2,0,1,82.00,0,3,-18.70,56.70,60.00
S0088,3,76.70,3,3,3,74.20,1,3,-20.00,70.70,59.10
S0088,4,80.90,3,2,2,79.10,0,2,-26.20,66.50,66.70
S0089,1,100.00,0,0,0,89.10,0,5,-3.00,89.00,66.30
S0089,2,96.80,0,0,0,88.30,1,4,-2.30,89.80,83.60
S0089,3,93.10,1,0,0,80.60,1,4,-3.00,86.10,77.90
S0089,4,93.10,1,0,0,94.20,0,5,-12.60,87.90,72.90
S0090,1,96.10,1,1,1,98.50,0,6,13.10,87.10,96.90
S0090,2,98.10,1,1,0,100.00,0,5,18.20,86.20,90.80
S0090,3,94.70,1,1,0,93.00,0,6,-7.60,92.40,90.40
S0090,4,98.70,0,0,0,89.90,0,7,1.50,99.10,93.30
S0091,1,97.20,0,0,1,87.00,0,6,-3.10,89.30,73.70
S0091,2,88.50,3,2,0,96.70,0,5,-10.40,74.10,74.40
S0091,3,87.50,0,0,1,93.90,0,5,-3.00,86.60,78.00
S0091,4,78.50,2,2,3,96.90,0,4,-9.90,88.10,81.40
S0092,1,96.90,0,0,0,88.40,0,5,-4.20,80.60,76.40
S0092,2,91.90,0,0,0,90.70,0,5,-8.80,83.00,80.00
S0092,3,83.30,1,1,2,86.60,0,2,-1.00,82.70,70.50
S0092,4,82.40,1,1,2,98.60,0,4,-13.90,83.50,89.40
S0093,1,96.30,2,2,0,100.00,1,5,15.20,89.40,86.60
S0093,2,85.90,1,1,1,86.20,0,5,4.80,90.50,69.90
S0093,3,89.70,2,2,0,88.80,1,5,3.00,82.10,82.60
S0093,4,80.50,3,3,3,82.40,0,4,2.90,82.60,79.70
S0094,1,94.60,0,0,0,88.40,0,7,-6.70,78.40,47.30
S0094,2,96.00,1,0,0,77.60,2,3,-13.90,84.50,63.00
S0094,3,96.50,0,0,0,95.30,0,5,-4.90,70.90,58.60
S0094,4,94.10,3,1,0,82.10,0,4,0.10,74.60,60.20
S0095,1,95.80,1,1,0,69.70,1,3,-27.10,77.80,68.90
S0095,2,83.30,2,0,2,85.70,0,3,-25.50,73.00,63.40
