student_id,course_id,completion_status,completion_grade
S0083,C020,completed,B
S0084,C035,completed,B
S0084,C033,completed,B
S0084,C034,completed,B
S0085,C035,completed,B
S0085,C033,completed,A
S0085,C034,completed,B
S0086,C009,completed,B
S0086,C014,completed,A
S0086,C011,completed,C
S0086,C010,completed,B
S0086,C012,completed,B
S0086,C013,completed,B
S0087,C025,completed,B
S0088,C018,completed,B
S0088,C019,completed,B
S0088,C017,completed,C
S0089,C027,completed,B
S0089,C026,completed,A
S0089,C025,completed,C
S0091,C010,completed,A
S0091,C014,completed,C
S0091,C013,completed,C
S0091,C011,completed,B
S0091,C012,completed,A
S0091,C009,completed,C
S0092,C002,completed,B
S0092,C001,completed,B
S0092,C003,completed,B
S0093,C033,completed,B
S0093,C034,completed,A
S0093,C037,completed,A
S0093,C036,completed,B
S0093,C035,completed,B
S0094,C013,completed,B
S0094,C011,completed,A
S0094,C014,completed,A
S0094,C010,completed,B
S0094,C009,completed,B
S0094,C012,completed,B
S0095,C013,completed,B
S0095,C012,completed,B
S0095,C009,completed,B
S0095,C011,completed,A
S0095,C014,completed,C
S0095,C010,completed,C
S0097,C010,completed,A
S0097,C009,completed,A
S0097,C011,completed,B
S0098,C018,completed,A
S0098,C020,completed,B
S0098,C019,completed,B
S0098,C022,completed,A
S0098,C021,completed,B
S0098,C017,completed,C
S0099,C029,completed,A
S0099,C027,completed,C
S0099,C025,completed,B
S0099,C028,completed,A
S0099,C030,completed,B
S0099,C026,completed,B
S0100,C033,completed,C
S0100,C035,completed,A
S0100,C034,completed,A
S0101,C035,completed,C
S0101,C033,completed,A
S0101,C034,completed,A
S0102,C033,completed,A
S0102,C035,completed,A
S0102,C034,completed,B
S0103,C033,completed,A
S0103,C034,completed,B
S0104,C001,completed,C
S0105,C025,completed,C
S0105,C028,completed,C
S0105,C030,completed,A
S0105,C029,completed,A
S0105,C027,completed,B
S0105,C026,completed,A
S0106,C027,completed,A
S0106,C025,completed,B
S0106,C026,completed,C
S0107,C018,completed,B
S0109,C033,completed,A
S0109,C035,completed,B
S0110,C018,completed,B
S0110,C017,completed,B
S0110,C020,completed,A
S0110,C022,completed,B
S0110,C019,completed,B
S0110,C021,completed,B
S0111,C033,completed,B
S0111,C034,completed,A
S0111,C037,completed,B
S0111,C035,completed,B
S0111,C036,completed,A
S0112,C019,completed,B
S0112,C017,completed,B
S0112,C018,completed,B
S0113,C003,completed,A
S0113,C001,completed,A
S0113,C002,completed,B
S0114,C017,completed,B
S0115,C033,completed,B
S0115,C035,completed,A
S0115,C034,completed,C
S0116,C017,completed,A
S0116,C022,completed,B
S0116,C020,completed,B
S0116,C019,completed,B
S0116,C018,completed,A
S0117,C003,completed,C
S0117,C002,completed,B
S0117,C001,completed,B
S0118,C001,completed,A
S0118,C003,completed,B
S0118,C002,completed,A
S0119,C029,completed,B
S0119,C025,completed,A
S0119,C028,completed,A
S0119,C027,completed,B
S0119,C026,completed,A
S0120,C002,completed,B
S0120,C006,completed,B
S0120,C001,completed,A
S0120,C003,completed,B
S0120,C004,completed,B
S0120,C005,completed,B
S0122,C027,completed,B
S0122,C026,completed,A
S0123,C027,completed,C
S0124,C009,completed,A
S0125,C002,completed,B
S0126,C003,completed,B
S0126,C002,completed,A
S0126,C001,completed,B
S0127,C034,completed,C
S0127,C033,completed,B
S0127,C035,completed,A
S0128,C026,completed,A
S0128,C028,completed,A
S0128,C029,completed,B
S0128,C027,completed,B
S0128,C030,completed,C
S0129,C034,completed,A
S0129,C033,completed,B
S0129,C035,completed,B
S0129,C036,completed,B
S0129,C037,completed,B
S0130,C033,completed,A
S0131,C002,completed,A
S0132,C017,completed,B
S0133,C009,completed,C
S0133,C011,completed,A
S0133,C010,completed,B
S0134,C019,completed,C
S0134,C017,completed,C
S0135,C018,completed,A
S0135,C019,completed,B
S0135,C017,completed,A
S0136,C005,completed,C
S0136,C006,completed,C
S0136,C003,completed,B
S0136,C002,completed,B
S0136,C001,completed,B
S0136,C004,completed,B
S0137,C027,completed,B
S0137,C029,completed,B
S0137,C030,completed,B
S0137,C028,completed,B
S0137,C026,completed,A
S0137,C025,completed,C
S0139,C014,completed,B
S0139,C011,completed,C
S0139,C012,completed,A
S0139,C010,completed,A
S0139,C013,completed,A
S0140,C018,completed,A
S0140,C019,completed,A
S0140,C021,completed,A
S0140,C017,completed,B
S0140,C020,completed,B
S0140,C022,completed,A
S0141,C034,completed,C
S0141,C033,completed,A
S0141,C035,completed,B
S0141,C037,completed,A
S0141,C036,completed,B
S0142,C025,completed,A
S0142,C027,completed,A
S0142,C026,completed,B
S0144,C035,completed,B
S0144,C034,completed,B
S0145,C001,completed,B
S0146,C033,completed,B
S0146,C034,completed,B
S0146,C035,completed,A
S0147,C004,completed,B
S0147,C006,completed,B
S0147,C003,completed,B
S0147,C002,completed,B
S0147,C001,completed,C
S0147,C005,completed,B
S0148,C026,completed,A
S0148,C027,completed,A
S0148,C025,completed,B
S0150,C030,completed,B
S0150,C027,completed,A
S0150,C025,completed,C
S0150,C026,completed,B
S0150,C028,completed,B
S0150,C029,completed,B
S0151,C010,completed,B
S0151,C011,completed,A
S0153,C033,completed,B
S0153,C034,completed,B
S0153,C035,completed,B
S0154,C011,completed,A
S0154,C009,completed,B
S0155,C020,completed,A
S0155,C018,completed,B
S0155,C019,completed,B
S0155,C017,completed,A
S0155,C022,completed,B
S0156,C025,completed,A
S0156,C026,completed,A
S0157,C027,completed,A
S0157,C025,completed,B
S0158,C001,completed,C
S0158,C002,completed,A
S0158,C003,completed,C
S0160,C025,completed,B
S0161,C002,completed,A
S0161,C001,completed,B
S0161,C003,completed,A
S0162,C025,completed,B
S0162,C027,completed,A
S0162,C026,completed,A
S0163,C030,completed,A
S0163,C027,completed,C
S0163,C028,completed,B
S0163,C025,completed,C
S0163,C029,completed,B
S0164,C011,completed,A
S0164,C013,completed,C
S0164,C012,completed,C
S0164,C009,completed,A
S0164,C014,completed,B
S0164,C010,completed,B
S0165,C011,completed,A
S0165,C010,completed,B
S0166,C020,completed,A
S0166,C017,completed,C
S0166,C021,completed,B
S0166,C018,completed,A
S0166,C022,completed,A
S0166,C019,completed,B
S0167,C035,completed,B
S0167,C033,completed,C
S0168,C036,completed,C
S0168,C035,completed,C
S0168,C033,completed,B
S0168,C037,completed,B
S0168,C034,completed,A
S0169,C010,completed,B
S0169,C009,completed,B
S0170,C018,completed,B
S0170,C019,completed,B
S0170,C017,completed,B
S0171,C010,completed,B
S0171,C009,completed,B
S0174,C026,completed,B
S0174,C029,completed,B
S0174,C028,completed,A
S0174,C025,completed,C
S0174,C030,completed,A
S0175,C013,completed,C
S0175,C010,completed,B
S0175,C009,completed,B
S0175,C012,completed,B
S0175,C011,completed,A
S0176,C034,completed,C
S0176,C033,completed,B
S0177,C026,completed,B
S0178,C003,completed,B
S0178,C001,completed,B
S0178,C002,completed,B
S0179,C035,completed,B
S0179,C033,completed,B
S0179,C034,completed,C
S0180,C011,completed,A
S0180,C009,completed,B
S0180,C010,completed,B
S0181,C033,completed,B
S0183,C034,completed,A
S0183,C033,completed,B
S0183,C035,completed,B
S0184,C010,completed,A
S0184,C009,completed,A
S0184,C011,completed,C
S0185,C006,completed,B
S0185,C003,completed,A
S0185,C004,completed,A
S0185,C001,completed,A
S0185,C002,completed,C
S0185,C005,completed,C
S0186,C011,completed,B
S0186,C010,completed,B
S0186,C009,completed,B
S0187,C011,completed,B
S0187,C014,completed,B
S0187,C009,completed,B
S0187,C012,completed,B
S0187,C010,completed,C
S0188,C014,completed,B
S0188,C009,completed,B
S0188,C013,completed,B
S0188,C012,completed,A
S0188,C011,completed,B
S0191,C001,completed,A
S0191,C002,completed,A
S0191,C003,completed,B
S0192,C033,completed,C
S0192,C034,completed,A
S0192,C035,completed,C
S0193,C035,completed,A
S0193,C036,completed,B
S0193,C033,completed,A
S0193,C034,completed,B
S0193,C037,completed,A
S0195,C035,completed,A
S0195,C037,completed,B
S0195,C034,completed,B
S0195,C036,completed,C
S0195,C033,completed,B
S0197,C001,completed,B
S0197,C002,completed,B
S0197,C004,completed,C
S0197,C006,completed,C
S0197,C005,completed,A
S0198,C003,completed,B
S0198,C002,completed,A
S0198,C001,completed,C
S0199,C021,completed,B
S0199,C019,completed,C
S0199,C017,completed,B
S0199,C020,completed,A
S0199,C018,completed,B
S0199,C022,completed,A
S0200,C013,completed,C
S0200,C009,completed,B
S0200,C012,completed,B
S0200,C014,completed,B
S0200,C011,completed,C
