course_id,course_name,department,description,learning_objectives,competencies,related_jobs,related_interests,grade_level,semester,difficulty,prerequisites,credit,is_available
C011,대인관계와 소통,유아교육과,대인관계와 소통의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,대인관계·공감소통 역량을 단계적으로 개발,대인관계|공감소통,상담 지원|서비스 운영,상담·복지|서비스,1,1,기초,,3,True
C012,상담기법 기초,유아교육과,상담기법 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,상담기법·의사소통 역량을 단계적으로 개발,상담기법|의사소통,상담 지원|사례 지원,상담·복지,2,2,중급,C009,3,True
C013,복지 프로그램 기획,유아교육과,복지 프로그램 기획의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,프로그램기획·요구분석 역량을 단계적으로 개발,프로그램기획|요구분석,복지 기획|서비스 기획,상담·복지|서비스,2,1,중급,C010,3,True
C014,사례관리 기초,유아교육과,사례관리 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,사례관리·자원연계 역량을 단계적으로 개발,사례관리|자원연계,사례 지원|복지 서비스,상담·복지,2,2,중급,C009,3,True
C015,지역사회 프로젝트,유아교육과,지역사회 프로젝트의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,지역분석·프로젝트관리 역량을 단계적으로 개발,지역분석|프로젝트관리,복지 기획|프로젝트 관리,상담·복지|서비스,3,1,심화,C013,3,True
C016,디지털 복지콘텐츠,유아교육과,디지털 복지콘텐츠의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,디지털콘텐츠·복지소통 역량을 단계적으로 개발,디지털콘텐츠|복지소통,복지 콘텐츠|콘텐츠 기획,상담·복지|콘텐츠·디자인,3,2,심화,C013,3,True
C017,디자인 기초,실용음악과(3년제),디자인 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,시각표현·디자인이해 역량을 단계적으로 개발,시각표현|디자인이해,콘텐츠 디자인|브랜드 디자인,콘텐츠·디자인,1,1,기초,,3,True
C018,시각 콘텐츠 제작,실용음악과(3년제),시각 콘텐츠 제작의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,콘텐츠제작·시각화 역량을 단계적으로 개발,콘텐츠제작|시각화,콘텐츠 제작|디자인,콘텐츠·디자인,1,2,기초,,3,True
C019,스토리텔링,실용음악과(3년제),스토리텔링의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,스토리기획·콘텐츠기획 역량을 단계적으로 개발,스토리기획|콘텐츠기획,콘텐츠 기획|마케팅 기획,콘텐츠·디자인|경영·마케팅,1,1,기초,,3,True
C020,UX 기초,실용음악과(3년제),UX 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,사용자이해·UX설계 역량을 단계적으로 개발,사용자이해|UX설계,UX 기획|서비스 기획,콘텐츠·디자인|서비스,2,2,중급,C017,3,True
C021,영상 콘텐츠 제작,실용음악과(3년제),영상 콘텐츠 제작의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,영상제작·콘텐츠표현 역량을 단계적으로 개발,영상제작|콘텐츠표현,영상 콘텐츠|SNS 콘텐츠,콘텐츠·디자인,2,1,중급,C018,3,True
C022,디지털 콘텐츠 기획,실용음악과(3년제),디지털 콘텐츠 기획의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,디지털기획·스토리설계 역량을 단계적으로 개발,디지털기획|스토리설계,콘텐츠 기획|서비스 기획,콘텐츠·디자인|서비스,2,2,중급,C019,3,True
C023,콘텐츠 마케팅,실용음악과(3년제),콘텐츠 마케팅의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,콘텐츠마케팅·고객소통 역량을 단계적으로 개발,콘텐츠마케팅|고객소통,콘텐츠 마케팅|SNS 마케팅,콘텐츠·디자인|경영·마케팅,3,1,심화,C022,3,True
C024,콘텐츠 포트폴리오,실용음악과(3년제),콘텐츠 포트폴리오의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,포트폴리오·프로젝트관리 역량을 단계적으로 개발,포트폴리오|프로젝트관리,콘텐츠 제작|디자인,콘텐츠·디자인,3,2,심화,C021,3,True
C025,보건 의사소통,간호학과,보건 의사소통의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,보건소통·정보전달 역량을 단계적으로 개발,보건소통|정보전달,보건 서비스|건강 콘텐츠,보건|서비스,1,1,기초,,3,True
C026,건강정보 이해,간호학과,건강정보 이해의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,건강정보·자료해석 역량을 단계적으로 개발,건강정보|자료해석,보건 정보|보건 서비스,보건|데이터·AI,1,2,기초,,3,True
C027,보건서비스 기초,간호학과,보건서비스 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,보건서비스·대상자이해 역량을 단계적으로 개발,보건서비스|대상자이해,보건 서비스|서비스 운영,보건|서비스,1,1,기초,,3,True
C028,데이터 기반 보건,간호학과,데이터 기반 보건의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,보건데이터·기초분석 역량을 단계적으로 개발,보건데이터|기초분석,보건 데이터|보건 기획,보건|데이터·AI,2,2,중급,C026,3,True
C029,건강 콘텐츠 기획,간호학과,건강 콘텐츠 기획의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,건강콘텐츠·정보설계 역량을 단계적으로 개발,건강콘텐츠|정보설계,건강 콘텐츠|콘텐츠 기획,보건|콘텐츠·디자인,2,1,중급,C025,3,True
C030,현장 안전관리,간호학과,현장 안전관리의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,안전관리·위험예방 역량을 단계적으로 개발,안전관리|위험예방,안전 관리|보건 서비스,보건|서비스,2,2,중급,C027,3,True
C031,대상자 경험설계,간호학과,대상자 경험설계의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,경험설계·서비스개선 역량을 단계적으로 개발,경험설계|서비스개선,보건 서비스|서비스 기획,보건|서비스,3,1,심화,C027,3,True
C032,보건 프로젝트,간호학과,보건 프로젝트의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,프로젝트관리·보건기획 역량을 단계적으로 개발,프로젝트관리|보건기획,보건 기획|보건 서비스,보건|서비스,3,2,심화,C028,3,True
C033,데이터 사고 기초,소프트웨어융합과,데이터 사고 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,데이터이해·문제정의 역량을 단계적으로 개발,데이터이해|문제정의,데이터 분석|서비스 기획,데이터·AI,1,1,기초,,3,True
C034,스프레드시트 분석,소프트웨어융합과,스프레드시트 분석의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,데이터정리·기초분석 역량을 단계적으로 개발,데이터정리|기초분석,데이터 분석|마케팅 기획,데이터·AI|경영·마케팅,1,2,기초,,3,True
C035,Python 활용 기초,소프트웨어융합과,Python 활용 기초의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,프로그래밍·자동화 역량을 단계적으로 개발,프로그래밍|자동화,데이터 분석|AI 서비스,데이터·AI,1,1,기초,,3,True
C036,데이터 시각화,소프트웨어융합과,데이터 시각화의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,시각화·데이터소통 역량을 단계적으로 개발,시각화|데이터소통,데이터 분석|콘텐츠 기획,데이터·AI|콘텐츠·디자인,2,2,중급,C033,3,True
C037,응용 통계,소프트웨어융합과,응용 통계의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,통계분석·의사결정 역량을 단계적으로 개발,통계분석|의사결정,데이터 분석|시장 분석,데이터·AI|경영·마케팅,2,1,중급,C033,3,True
C038,머신러닝 이해,소프트웨어융합과,머신러닝 이해의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,AI이해·예측분석 역량을 단계적으로 개발,AI이해|예측분석,AI 서비스|데이터 분석,데이터·AI,3,2,심화,C035,3,True
C039,데이터 프로젝트,소프트웨어융합과,데이터 프로젝트의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,프로젝트관리·데이터활용 역량을 단계적으로 개발,프로젝트관리|데이터활용,데이터 분석|서비스 기획,데이터·AI|서비스,3,1,심화,C036,3,True
C040,AI 서비스 기획,소프트웨어융합과,AI 서비스 기획의 핵심 개념을 이해하고 실제 과제로 적용하는 synthetic 교과목,AI기획·서비스설계 역량을 단계적으로 개발,AI기획|서비스설계,AI 서비스|서비스 기획,데이터·AI|서비스,3,2,심화,C038,3,True
