student_id,department,grade,previous_gpa,earned_credits,academic_warning_history,repeat_course_count,archetype
S0050,실용음악과(3년제),2,2.68,59,1,1,achievement_risk
S0051,유아교육과,1,1.85,12,2,2,achievement_risk
S0052,친환경건축과,1,3.50,21,0,0,normal
S0053,유아교육과,2,3.89,59,0,0,normal
S0054,소프트웨어융합과,2,3.27,46,0,1,engagement_risk
S0055,간호학과,2,4.12,57,0,0,normal
S0056,소프트웨어융합과,1,3.62,15,0,0,normal
S0057,친환경건축과,3,3.80,81,0,0,normal
S0058,소프트웨어융합과,1,2.88,18,0,0,attendance_risk
S0059,실용음악과(3년제),2,3.33,44,0,0,normal
S0060,유아교육과,3,1.99,92,0,3,achievement_risk
S0061,유아교육과,1,2.48,17,0,2,major_mismatch
S0062,유아교육과,2,1.53,48,0,2,achievement_risk
S0063,간호학과,2,2.53,45,1,2,achievement_risk
S0064,소프트웨어융합과,1,3.84,22,0,0,normal
S0065,유아교육과,1,3.77,16,0,0,normal
S0066,간호학과,3,3.81,92,0,2,normal
S0067,실용음악과(3년제),3,3.36,94,0,0,normal
S0068,소프트웨어융합과,2,3.88,49,0,0,normal
S0069,간호학과,3,1.32,82,0,3,achievement_risk
S0070,유아교육과,3,3.09,89,1,0,career_unclear
S0071,실용음악과(3년제),1,2.35,20,1,2,complex_risk
S0072,유아교육과,3,3.75,92,0,0,engagement_risk
S0073,유아교육과,2,4.05,59,0,0,career_unclear
S0074,소프트웨어융합과,3,3.88,86,0,0,normal
S0075,실용음악과(3년제),2,2.14,44,1,1,achievement_risk
S0076,유아교육과,2,2.98,56,2,2,complex_risk
S0077,소프트웨어융합과,2,2.64,49,0,0,career_unclear
S0078,유아교육과,1,3.45,16,0,0,normal
S0079,간호학과,1,3.67,20,0,0,normal
S0080,유아교육과,3,3.26,92,0,0,major_mismatch
S0081,소프트웨어융합과,1,3.74,20,0,0,normal
S0082,소프트웨어융합과,3,3.24,87,0,0,normal
S0083,실용음악과(3년제),3,3.01,82,1,0,engagement_risk
S0084,소프트웨어융합과,2,3.69,50,0,0,normal
S0085,소프트웨어융합과,2,3.79,48,0,0,career_unclear
S0086,유아교육과,3,2.44,82,2,1,achievement_risk
S0087,간호학과,1,3.15,17,1,0,major_mismatch
S0088,실용음악과(3년제),2,2.14,51,1,3,complex_risk
S0089,간호학과,2,2.90,52,0,1,major_mismatch
S0090,간호학과,1,3.86,24,0,0,normal
S0091,유아교육과,3,3.19,86,0,2,attendance_risk
S0092,친환경건축과,2,3.38,51,0,2,attendance_risk
S0093,소프트웨어융합과,3,3.30,91,0,0,attendance_risk
S0094,유아교육과,3,1.98,78,0,3,achievement_risk
S0095,유아교육과,3,1.61,82,2,2,complex_risk
S0096,유아교육과,1,3.18,14,0,0,normal
S0097,유아교육과,2,2.12,46,1,2,achievement_risk
S0098,실용음악과(3년제),3,2.45,80,1,3,complex_risk
S0099,간호학과,3,4.01,88,0,0,normal
S0100,소프트웨어융합과,2,1.34,45,1,1,complex_risk
S0101,소프트웨어융합과,2,3.49,41,0,0,normal
S0102,소프트웨어융합과,2,3.64,52,0,2,normal
S0103,소프트웨어융합과,1,3.70,25,0,0,normal
S0104,친환경건축과,1,4.07,9,0,1,career_unclear
S0105,간호학과,3,3.57,86,0,0,career_unclear
S0106,간호학과,2,3.79,52,0,0,normal
S0107,실용음악과(3년제),1,3.50,23,1,0,normal
S0108,유아교육과,1,3.94,18,0,0,career_unclear
S0109,소프트웨어융합과,1,3.71,22,0,0,normal
S0110,실용음악과(3년제),3,2.74,81,0,0,major_mismatch
S0111,소프트웨어융합과,3,2.03,79,2,3,achievement_risk
S0112,실용음악과(3년제),2,3.76,51,0,0,career_unclear
S0113,친환경건축과,2,3.77,60,0,0,normal
S0114,실용음악과(3년제),1,3.61,20,0,0,career_unclear
S0115,소프트웨어융합과,2,1.68,49,2,2,complex_risk
S0116,실용음악과(3년제),3,3.31,86,1,0,normal
S0117,친환경건축과,2,4.01,45,0,2,normal
S0118,친환경건축과,2,1.70,46,0,1,achievement_risk
S0119,간호학과,3,3.26,80,0,0,career_unclear
S0120,친환경건축과,3,3.04,79,2,0,major_mismatch
S0121,소프트웨어융합과,1,3.67,16,0,0,normal
S0122,간호학과,1,3.97,19,0,0,normal
S0123,간호학과,1,3.95,20,0,0,normal
S0124,유아교육과,1,3.96,22,0,0,normal
S0125,친환경건축과,1,2.42,19,0,2,achievement_risk
S0126,친환경건축과,2,2.91,54,0,0,major_mismatch
S0127,소프트웨어융합과,2,3.01,44,1,0,engagement_risk
S0128,간호학과,3,3.27,79,0,0,engagement_risk
S0129,소프트웨어융합과,3,3.56,87,0,0,major_mismatch
S0130,소프트웨어융합과,1,3.32,20,0,0,normal
S0131,친환경건축과,1,1.69,8,1,2,achievement_risk
S0132,실용음악과(3년제),1,3.49,20,0,0,normal
S0133,유아교육과,2,3.42,55,0,1,attendance_risk
S0134,실용음악과(3년제),1,3.97,29,0,0,normal
S0135,실용음악과(3년제),2,2.75,45,0,1,engagement_risk
S0136,친환경건축과,3,2.16,84,0,0,engagement_risk
S0137,간호학과,3,3.31,82,0,0,attendance_risk
S0138,간호학과,1,3.88,21,0,2,normal
S0139,유아교육과,3,3.23,85,0,0,attendance_risk
S0140,실용음악과(3년제),3,3.68,78,0,0,major_mismatch
S0141,소프트웨어융합과,3,4.11,86,0,0,normal
S0142,간호학과,2,4.00,51,0,0,normal
S0143,소프트웨어융합과,1,3.41,17,0,1,attendance_risk
S0144,소프트웨어융합과,1,3.74,21,1,0,normal
S0145,친환경건축과,1,3.10,20,0,1,normal
S0146,소프트웨어융합과,2,3.09,50,0,0,attendance_risk
S0147,친환경건축과,3,4.04,88,0,0,normal
S0148,간호학과,2,3.44,42,0,2,attendance_risk
S0149,실용음악과(3년제),1,2.95,18,0,0,engagement_risk
S0150,간호학과,3,3.61,81,0,0,normal
S0151,유아교육과,1,3.73,18,0,0,normal
S0152,유아교육과,1,3.61,16,0,0,normal
S0153,소프트웨어융합과,2,2.32,54,2,2,achievement_risk
S0154,유아교육과,1,2.80,17,0,0,major_mismatch
S0155,실용음악과(3년제),3,3.81,83,0,0,attendance_risk
S0156,간호학과,1,2.54,15,0,1,attendance_risk
S0157,간호학과,1,3.03,20,1,0,engagement_risk
S0158,친환경건축과,2,3.14,51,0,2,major_mismatch
S0159,소프트웨어융합과,1,3.05,18,0,0,major_mismatch
S0160,간호학과,1,3.53,21,0,0,normal
S0161,친환경건축과,2,2.53,52,0,0,career_unclear
S0162,간호학과,2,3.78,56,0,0,normal
S0163,간호학과,3,4.07,82,0,0,normal
S0164,유아교육과,3,3.51,74,0,1,engagement_risk
S0165,유아교육과,1,3.48,24,0,0,normal
S0166,실용음악과(3년제),3,2.62,89,1,2,achievement_risk
S0167,소프트웨어융합과,1,2.77,18,0,2,complex_risk
S0168,소프트웨어융합과,3,1.64,76,1,1,achievement_risk
S0169,유아교육과,1,2.57,21,0,3,complex_risk
S0170,실용음악과(3년제),2,2.75,44,0,0,engagement_risk
S0171,유아교육과,1,2.11,15,2,1,achievement_risk
S0172,간호학과,1,3.33,26,0,1,major_mismatch
S0173,소프트웨어융합과,1,3.47,19,0,0,normal
S0174,간호학과,3,3.47,90,0,0,career_unclear
S0175,유아교육과,3,3.64,81,0,0,normal
S0176,소프트웨어융합과,1,3.61,23,0,0,normal
S0177,간호학과,1,3.60,24,0,0,normal
S0178,친환경건축과,2,3.41,55,0,0,normal
S0179,소프트웨어융합과,2,3.46,60,1,0,normal
S0180,유아교육과,2,3.35,53,0,0,attendance_risk
S0181,소프트웨어융합과,1,3.26,17,0,0,normal
S0182,유아교육과,1,3.40,15,0,0,normal
S0183,소프트웨어융합과,2,2.52,51,0,0,engagement_risk
S0184,유아교육과,2,3.57,52,0,0,career_unclear
S0185,친환경건축과,3,3.93,82,0,0,normal
S0186,유아교육과,2,3.60,56,0,0,normal
S0187,유아교육과,3,3.39,87,0,0,major_mismatch
S0188,유아교육과,3,3.38,87,0,0,normal
S0189,간호학과,1,3.87,25,0,0,normal
S0190,소프트웨어융합과,1,2.84,6,0,0,major_mismatch
S0191,친환경건축과,2,1.90,50,2,2,complex_risk
S0192,소프트웨어융합과,2,3.23,49,0,0,attendance_risk
S0193,소프트웨어융합과,3,3.78,89,0,0,normal
S0194,실용음악과(3년제),1,3.76,18,0,0,normal
S0195,소프트웨어융합과,3,3.30,85,0,0,attendance_risk
S0196,실용음악과(3년제),1,3.03,27,0,0,engagement_risk
S0197,친환경건축과,3,3.24,87,0,0,attendance_risk
S0198,친환경건축과,2,3.36,52,2,3,complex_risk
S0199,실용음악과(3년제),3,3.79,99,0,0,normal
S0200,유아교육과,3,3.67,86,0,1,career_unclear
