program_id,program_name,program_type,description,target_risk_types,provided_competencies,target_students,department_in_charge,operation_period,application_url,source_system,source_status,academic_year,semester
WINGS-D50F8D2887B5,2026학년도 경복대학교 축제 공연 및 부스 운영 프로그램 등록,축제/체육대회,"축제기간동안운영되는무대공연과부스운영에직접참여할학생들을모집하여,모두가즐길수있는활기찬축제를같이준비할학생들을모집합니다.",engagement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생성공센터,신청 2026-04-16~2026-05-13 · 운영 2026-04-16~2026-05-13,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,1학기
WINGS-FD86C73BD99D,2026학년도 봉사 동아리 모집 공고,소모임/동아리,봉사활동을통해지역사회공헌에관심있는재학생들의많은참여부탁드립니다.,engagement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생성공센터,신청 2026-04-13~2026-04-28 · 운영 2026-04-13~2027-02-28,https://wings.kbu.ac.kr,WINGS,운영중,2026,
WINGS-98B823C0A405,2026학년도 외국어 능력 향상 프로그램(TOEIC 성적 향상 장학금 챌린지),글로벌 역량 강화 프로그램,토익향상도에따른장학금지원,engagement|achievement,글로벌 시민 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),교수학습혁신센터,신청 2026-05-19~2027-02-28 · 운영 2026-05-19~2027-02-28,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,
WINGS-F784CAA8D4CA,2026학년도 외국어 능력 향상 프로그램(온라인 TOEIC),글로벌 역량 강화 프로그램,레벨별온라인토익강의제공,engagement|achievement,글로벌 시민 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),교수학습혁신센터,신청 2026-05-19~2026-08-31 · 운영 2026-05-19~2026-08-31,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,1학기
WINGS-32FB569C005A,2026학년도 일반 동아리 모집 공고,소모임/동아리,새로운도전을통해역량을키우고싶은재학생을대상으로일반동아리를모집합니다.,engagement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생성공센터,신청 2026-04-13~2026-04-28 · 운영 2026-04-13~2027-02-28,https://wings.kbu.ac.kr,WINGS,운영중,2026,
WINGS-630FD326E830,2026학년도 재학생 멘토-멘토링 프로그램,멘토링,"본사업은1,2학년재학생을대상으로선-후배멘토-멘티결성식을운영하여학과적응력및전공직무이해도를향상시키고,학과재학률달성에기여하는것을목표로한다.",engagement|major_adaptation|career,리더십 역량|실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),준오헤어디자인과,신청 2026-05-01~2026-05-13 · 운영 2026-05-13~2026-05-13,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-57CCE5CB3F95,2026학년도 재학생 법정의무교육,특강,"재학생법정의무교육-한국양성평등교육진흥원이러닝센터2026년폭력에방사이버교육을활용한교육1.가정폭력예방교육4개,2.교제폭력예방교육2개,3.성폭력예방교육4개,4.스마트폰과의존예방교육2개,5.중독예방교육2개",attendance|engagement|achievement,글로벌 시민 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생상담센터,신청 2026-08-10~2026-12-31 · 운영 2026-08-10~2026-12-31,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,2학기
WINGS-5473D1F55504,2026학년도 전공 동아리 모집 공고,소모임/동아리,전공과관련된심화학습및실무역량을키우고싶은재학생을대상으로전공동아리를모집합니다.,engagement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생성공센터,신청 2026-04-13~2026-04-28 · 운영 2026-04-13~2027-02-28,https://wings.kbu.ac.kr,WINGS,운영중,2026,
WINGS-C0332E0C6511,2026학년도 제 1차 창업캠프 참가자 모집,학생창업,디지털기술을활용한창업에관심있는재학생을대상으로AI·빅데이터및디지털전환(DX)기술을활용한창업아이디어발굴및사업화역량강화,career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),기업가정신창업지원센터,신청 2026-05-06~2026-05-12 · 운영 2026-05-13~2026-05-13,https://wings.kbu.ac.kr,WINGS,마감검토중,2026,1학기
WINGS-2710BD76E08A,2026학년도 창업동아리 신규 모집 공고(기간 연장 ~4/22 13시),소모임/동아리,경복대학교재학생을대상으로우수아이디어를가진창업동아리를모집합니다.선발시창업활동지원금과다양한프로그램참여기회가부여되오니많은관심갖고신청해주시기바랍니다!,engagement|major_adaptation|career,창의융합역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),기업가정신창업지원센터,신청 2026-04-06~2026-08-31 · 운영 2026-04-06~2027-02-26,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,
WINGS-36F66A1E3F10,2026학년도 항공서비스과 오픈캠퍼스 진로체험 프로그램,학과행사,항공서비스과오픈캠퍼스진로체험프로그램,engagement|major_adaptation|career,실무 전문성 역량|리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),항공서비스과,신청 2026-06-01~2026-06-30 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,게시안함,2026,여름계절학기
WINGS-6748F90CA3A1,AI해커톤대회,공모전/경진대회,AI기반문제해결역량및AI/DX실무역량강화를위한해커톤대회운영,engagement|achievement,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),AI디지털트윈연구원,신청 2026-07-15~2026-07-16 · 운영 2026-07-15~2026-07-16,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,여름계절학기
WINGS-92E10B79F077,AI해커톤대회,공모전/경진대회,AI기반문제해결역량및AI/DX실무역량강화를위한해커톤대회운영,engagement|achievement,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),AI디지털트윈연구원,신청 2026-08-04~2026-08-11 · 운영 2026-08-04~2026-09-25,https://wings.kbu.ac.kr,WINGS,운영중,2026,여름계절학기
WINGS-5927EF817194,BLS Provider 교육 프로그램 (작업치료과),자격증,"미국심장협회(AHA)BLSProvider교육과정을운영하여심정지및응급상황발생시기본소생술(BLS)과자동심장충격기(AED)사용능력을습득하고,의료인으로서필수응급처치역량과환자안전대응능력을강화하는프로그램입니다.",engagement|achievement|career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),작업치료과,신청 2026-06-22~2026-06-22 · 운영 2026-06-22~2026-06-23,https://wings.kbu.ac.kr,WINGS,게시안함,2026,여름계절학기
WINGS-F346EADBB2F9,BLS Provider 심폐소생술 교육,자격증,성인·소아심폐소생술과자동심장충격기사용법을학습하고실습하여응급상황대처역량을강화하였다.,engagement|achievement|career,실무 전문성 역량|글로벌 시민 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),임상병리과,신청 2026-07-10~2026-07-15 · 운영 2026-07-20~2026-07-22,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,여름계절학기
WINGS-8971678BE057,BLS Provider 자격증 지원 프로그램,자격증,응급상황대처능력향상과전문의료인으로서의기본역량강화를위해BLSProvider자격증과정을운영,engagement|achievement|career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),물리치료과,신청 2026-07-06~2026-07-10 · 운영 2026-07-15~2026-07-16,https://wings.kbu.ac.kr,WINGS,마감완료,2026,여름계절학기
WINGS-DF45A3732CD6,BLS Provider 자격증 지원 프로그램(1학년),자격증,심폐소생술에대한전반적인지식과술기습득을통한직무능력역량강화를통해산업체가요구하는다기능인재양성,engagement|achievement|career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),치위생과,신청 2026-05-15~2026-06-19 · 운영 2026-06-15~2026-06-19,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-F1805F8B1BEE,KBU 오픈캠퍼스데이 [유아교육과 : 놀이로 하는 코딩 및 보드게임],학과행사,일시2026년07월15일수요일1400~1500장소경복대학교우당관5층3501호,engagement|major_adaptation,창의융합역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),유아교육과,신청 2026-07-01~2026-07-14 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,게시안함,2026,여름계절학기
WINGS-F224CA166EE9,[공연예술과] 2026 OPEN CAMPUS DAY,안내(이벤트),"2026학년도예비대학생및지역청소년,재학생을대상으로학과체험및대학문화를경험해볼수있는오픈캠퍼스프로그램입니다.",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),공연예술과,신청 2026-07-15~2026-07-15 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,여름계절학기
WINGS-0542A1D64E21,[공연예술학과] 2026학년도 1학기 정규일반_정기공연,정규교과 지원,"뮤지컬<홍련>,연극<사천의선인>",engagement|achievement|major_adaptation,창의융합역량|실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),공연예술과(3년제),신청 2026-03-03~2026-06-18 · 운영 2026-06-09~2026-06-18,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-4AA39A5AA654,[나를 찾는 팔레트] 자존감 향상 집단상담 실습,개인/단체상담,"1)프로그램명""나를찾는팔레트-자존감향상집단상담실습""2)운영목적첫째,과슈긁어내기(Scratch)와꼴라주등직관적인미술매체를활용하여내면의숨겨진강점과긍정적자원을시각적으로탐색함으로써,학생들의자기수용도및자아존중감을즉각적으로향상합니다.둘째,집단내지지적인피드백교환과완성된작품의일상전이(Take-home종이액자)를통해자신에대한긍정적인식을내재화하고,성공적인대학생활적응을위한KBU핵심역량인'자기주도'능력을강화합니다.",major_adaptation|career|complex,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),학생상담센터,신청 2026-03-17~2026-12-31 · 운영 2026-04-01~2026-12-31,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,1학기
WINGS-49D5158EA93E,[물리치료학과] KBU OPEN CAMPUS DAY (상반기),학과행사,"고등학생을대상으로물리치료전공체험부스를운영하고,실습중심의전공체험을진행",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),물리치료과,신청 2026-07-06~2026-07-10 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,게시안함,2026,여름계절학기
WINGS-05436FBBA1E4,[물리치료학과] 시냅스 동아리 활동,소모임/동아리,지도교수지도하에슬링이론교육및실습체험,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),물리치료과,신청 2026-05-11~2026-05-21 · 운영 2026-05-21~2026-05-21,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-F90F80527B67,[뷰티디자인과 ] 학과임원,학생회,"약손피부미용과에서는학과운영과학생회활동의원활한진행을위해학과임원제도를운영하여학생들의리더십과책임감을향상시키고,학생과학과간의소통을활성화하며협업능력및조직운영역량을강화하는것을목표로합니다.",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),뷰티디자인과,신청 2026-02-01~2026-03-02 · 운영 2026-03-02~2026-06-30,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,
WINGS-0CD353F50975,[뷰티디자인과] KBU OPEN CAMPUS DAY _행사 도우미,"봉사(국내, 교외)",학과및지역사회행사운영지원을위한도우미봉사활동참여프로그램,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),뷰티디자인과,신청 2026-06-24~2026-07-08 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,여름계절학기
WINGS-45C8BC692161,[뷰티디자인과] 홍보단 헤메지원 봉사 프로그램,"봉사(국내, 교외)","뷰티디자인과에서는학교홍보활동의일환으로헤어·메이크업봉사프로그램을운영하여학생들의현장실무능력을향상시키고,전공전문성을바탕으로봉사정신과서비스마인드를함양하며창의융합역량및실무전문성역량을강화하는것을목표로합니다.",engagement|major_adaptation,창의융합역량|실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),뷰티디자인과,신청 2026-06-25~2026-07-02 · 운영 2026-07-03~2026-07-13,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,여름계절학기
WINGS-BB5A28973515,[뷰티코스메틱과] 업스타일 아티스트 자격증 프로그램,자격증,"뷰티코스메틱과2학년을대상으로업스타일자격증프로그램을운영하여,현장실무능력을향상시키고,전문적인K-뷰티테크니션양성과창의융합역량및실무전문성역량달성",engagement|achievement|career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),뷰티코스메틱과,신청 2026-06-01~2026-06-17 · 운영 2026-06-17~2026-06-19,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-2CF7A457329B,[사회복지과] 오픈 캠퍼스 데이_프로그램(행사)도우미,"봉사(국내, 교외)","학과및지역사회행사운영지원을위한도우미봉사활동참여프로그램.봉사정신함양과사회공헌의식증진,현장경험축적을통한실무역량강화.",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),사회복지과,신청 2026-06-24~2026-07-08 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,1학기
WINGS-D7392BE7490A,[사회복지과] 현장 견학 프로그램_남양주시북부장애인복지관,견학/답사,남양주시북부장애인복지관현장견학을통한장애인복지실천현장이해증진.기관운영체계및복지서비스체험을통한전공실무역량강화와진로탐색지원.,engagement|major_adaptation|career,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),사회복지과,신청 2026-05-11~2026-05-19 · 운영 2026-05-19~2026-05-19,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,1학기
WINGS-28B41D0BB110,[서비스경영과] AI활용 전문가 자격증 프로그램,자격증,"AI활용전문가자격증취득을목표로생성형AI와AI활용기술을학습하고,실습및자격시험대비를통해AI활용역량을향상",engagement|achievement|career,창의융합역량|실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),서비스경영과,신청 2026-06-08~2026-06-12 · 운영 2026-06-16~2026-06-19,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,1학기
WINGS-7CFDDE34E4C3,[시각디자인과] 2026 OPEN CAMPUS DAY,학과행사,2026OPENCAMPUSDAY'시각디자인으로만나는나만의굿즈디자인체험'행사의원활한진행을지원하는행사운영도우미참여프로그램입니다.,engagement|major_adaptation,리더십 역량|실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),시각디자인과,신청 2026-07-01~2026-12-31 · 운영 2026-07-01~2026-12-31,https://wings.kbu.ac.kr,WINGS,승인요청전,2026,여름계절학기
WINGS-FA567FCE8432,[시각디자인과] 창업 동아리 느루,소모임,시각디자인과창업동아리느루,engagement|major_adaptation|career,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),시각디자인과,신청 2025-03-03~2026-12-31 · 운영 2025-03-03~2026-12-31,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,
WINGS-0FBB7E1C2677,[시각디자인과] 현장견학_위디엑스 기업탐방,견학/답사,"시각디자인과현장견학_위디엑스기업탐방전공능력향상및최신트랜드분석,개인역량강화",engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),시각디자인과,신청 2026-05-01~2026-12-31 · 운영 2026-05-01~2026-12-31,https://wings.kbu.ac.kr,WINGS,승인요청전,2026,1학기
WINGS-1324CB55E4B1,[실용음악과] 개인역량 및 재학률 향상을 위한 수업과 공연제작실습 프로그램,정규교과 지원,실용음악과개인역량및재학률향상을위한수업과공연제작실습프로그램,engagement|achievement,실무 전문성 역량|리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),실용음악과(3년제),신청 2026-03-01~2026-12-18 · 운영 2026-03-10~2026-12-18,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,
WINGS-58D0FC122317,[실용음악과] 오픈 캠퍼스 데이_프로그램(행사)도우미,공연/전시,실용음악과오픈캠퍼스데이_프로그램(행사)도우미,engagement|major_adaptation,창의융합역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),실용음악과(3년제),신청 2026-07-01~2026-07-14 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,이수처리중,2026,1학기
WINGS-FADD2009D114,[실용음악과] 재학률 및 만족도 향상을 위한 학과 특성 정기공연 프로그램,정규교과 지원,실용음악과재학률및만족도향상을위한학과특성정기공연프로그램,engagement|achievement|major_adaptation,실무 전문성 역량|리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),실용음악과(3년제),신청 2026-03-01~2026-12-18 · 운영 2026-03-10~2026-12-19,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,
WINGS-E64BDB4C61FB,[실용음악학과] 개인역량 및 재학률 향상을 위한 수업과 공연제작실습 프로그램_전공심화,정규교과 지원,실용음악학과개인역량및재학률향상을위한수업과공연제작실습프로그램,engagement|achievement|major_adaptation,실무 전문성 역량|리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),실용음악과(3년제),신청 2026-03-01~2026-12-10 · 운영 2026-03-03~2026-12-10,https://wings.kbu.ac.kr,WINGS,신청/운영중,2026,1학기
WINGS-1D75E30A626C,[안전보건과] KBU OPEN CAMPUS DAY,홍보대사,-산업현장및사회전반에서요구되는외상응급처치기본역량강화-응급상황대응력함양을통한취업경쟁력향상-생명안전중심학과특성화교육과정으로실무능력제고,engagement|major_adaptation|career,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),안전보건과,신청 2026-06-01~2026-06-30 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,마감완료,2026,1학기
WINGS-8ADDB3B788C5,[약손피부미용과]학과임원,학생회,학생과학과간의소통을활성화하며협업능력및조직운영역량을강화하는것을목표,engagement|major_adaptation,리더십 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),약손피부미용과,신청 2026-02-01~2026-03-01 · 운영 2026-03-01~2026-06-30,https://wings.kbu.ac.kr,WINGS,마감요청전,2026,
WINGS-1CF1D321B786,[영상미디어콘텐츠] 오픈캠퍼스,학과행사,2026.7.15시행오픈캠퍼스헬퍼활동,engagement|major_adaptation,실무 전문성 역량,경복대학교 재학생(세부 참여 조건은 WINGS 확인),영상미디어콘텐츠과,신청 2026-07-01~2026-07-15 · 운영 2026-07-15~2026-07-15,https://wings.kbu.ac.kr,WINGS,승인요청전,2026,여름계절학기
