student_id,week,major_interest,major_satisfaction,major_continuation_intent,career_clarity,learning_difficulty,consultation_intent,interest_fields,desired_job,natural_language_concern
S0040,4,4,5,5,4,1,2,데이터·AI,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0041,4,4,3,4,3,5,4,상담·복지|데이터·AI,서비스 운영,공부한 만큼 성적이 나오지 않고 기초 내용이 부족한 것 같아 학습 방법을 상담받고 싶습니다.
S0042,4,5,4,4,5,1,2,서비스|콘텐츠·디자인,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0043,4,5,4,4,4,1,1,서비스|데이터·AI,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0044,4,5,5,3,5,3,4,서비스,서비스 운영,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0045,4,5,5,4,4,1,2,데이터·AI|서비스,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0046,4,3,3,3,1,3,4,데이터·AI|경영·마케팅,,아직 어떤 일을 하고 싶은지 정하지 못했고 지금 전공을 어떻게 진로와 연결해야 할지 잘 모르겠습니다.
S0047,4,4,5,4,5,2,1,콘텐츠·디자인,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0048,4,4,4,3,4,5,5,콘텐츠·디자인|데이터·AI,콘텐츠 기획,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0049,4,5,5,4,5,1,2,서비스|콘텐츠·디자인,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0050,4,3,3,3,4,4,5,서비스,서비스 운영,공부한 만큼 성적이 나오지 않고 기초 내용이 부족한 것 같아 학습 방법을 상담받고 싶습니다.
S0051,4,3,4,3,4,5,4,데이터·AI|상담·복지,데이터 실무,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0052,4,5,4,5,4,1,2,데이터·AI,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0053,4,4,4,5,5,2,2,서비스|콘텐츠·디자인,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0054,4,4,3,4,4,4,3,콘텐츠·디자인|서비스,서비스 기획,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0055,4,4,4,4,4,2,1,콘텐츠·디자인|서비스,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0056,4,4,5,5,4,1,2,콘텐츠·디자인|서비스,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0057,4,4,5,4,5,2,1,콘텐츠·디자인,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0058,4,4,3,4,4,3,4,경영·마케팅,마케팅 기획,요즘 등교와 시간 관리에 어려움이 있어 출석을 안정적으로 회복하는 데 도움이 필요합니다.
S0059,4,5,4,5,4,2,2,서비스,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0060,4,3,4,3,3,5,4,서비스|상담·복지,데이터 실무,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0061,4,1,2,2,3,2,4,데이터·AI|경영·마케팅,콘텐츠 기획,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0062,4,4,3,4,2,5,5,데이터·AI|상담·복지,서비스 운영,공부한 만큼 성적이 나오지 않고 기초 내용이 부족한 것 같아 학습 방법을 상담받고 싶습니다.
S0063,4,3,4,4,4,4,5,데이터·AI,상담 지원,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0064,4,5,5,4,4,1,1,데이터·AI|서비스,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0065,4,4,4,4,4,2,2,서비스,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0066,4,4,5,5,4,2,2,콘텐츠·디자인,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0067,4,5,4,4,4,1,1,데이터·AI,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0068,4,5,5,5,5,2,2,콘텐츠·디자인|데이터·AI,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0069,4,4,4,3,3,5,4,데이터·AI|상담·복지,상담 지원,공부한 만큼 성적이 나오지 않고 기초 내용이 부족한 것 같아 학습 방법을 상담받고 싶습니다.
S0070,4,4,4,4,2,2,3,콘텐츠·디자인|경영·마케팅,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0071,4,2,3,1,1,4,5,서비스,,최근 결석과 밀린 과제가 함께 늘었고 전공과 진로에 대한 확신도 낮아 무엇부터 해결해야 할지 모르겠습니다.
S0072,4,3,4,3,3,3,5,서비스|데이터·AI,데이터 분석,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0073,4,4,3,3,2,3,4,콘텐츠·디자인,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0074,4,5,5,5,4,2,1,서비스|데이터·AI,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0075,4,4,3,4,2,5,4,상담·복지|서비스,상담 지원,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0076,4,2,3,1,1,5,5,경영·마케팅|서비스,서비스 기획,최근 결석과 밀린 과제가 함께 늘었고 전공과 진로에 대한 확신도 낮아 무엇부터 해결해야 할지 모르겠습니다.
S0077,4,3,4,3,1,2,5,경영·마케팅|콘텐츠·디자인,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0078,4,4,4,4,5,2,1,서비스|데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0079,4,4,4,4,4,2,2,콘텐츠·디자인|데이터·AI,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0080,4,1,1,2,4,2,5,데이터·AI|경영·마케팅,디지털 마케팅,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
S0081,4,4,4,5,4,1,2,데이터·AI,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0082,4,4,5,4,5,1,1,서비스|데이터·AI,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0083,4,3,4,3,3,5,3,데이터·AI|서비스,서비스 기획,최근 수업과 과제를 따라가는 것이 조금 버겁고 공부에 집중하기 어려운 날이 많았습니다.
S0084,4,5,4,5,4,2,2,콘텐츠·디자인,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0085,4,4,3,3,2,3,5,경영·마케팅|데이터·AI,,아직 어떤 일을 하고 싶은지 정하지 못했고 지금 전공을 어떻게 진로와 연결해야 할지 잘 모르겠습니다.
S0086,4,3,4,3,4,4,4,데이터·AI|상담·복지,상담 지원,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0087,4,2,1,2,4,2,5,콘텐츠·디자인,콘텐츠 기획,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
S0088,4,1,2,1,2,4,5,경영·마케팅,,학습 진도를 놓친 뒤 학교생활 전반에 자신감이 떨어졌고 진로 방향도 함께 상담받고 싶습니다.
S0089,4,1,1,2,3,4,5,데이터·AI,디지털 마케팅,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0090,4,5,4,4,5,2,1,서비스,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0091,4,4,4,3,5,4,5,경영·마케팅,서비스 운영,요즘 등교와 시간 관리에 어려움이 있어 출석을 안정적으로 회복하는 데 도움이 필요합니다.
S0092,4,3,4,3,5,2,3,서비스,서비스 운영,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0093,4,4,4,5,5,3,3,데이터·AI,마케팅 기획,요즘 등교와 시간 관리에 어려움이 있어 출석을 안정적으로 회복하는 데 도움이 필요합니다.
S0094,4,4,4,3,4,4,4,서비스,데이터 실무,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0095,4,2,2,1,2,4,4,서비스,,학습 진도를 놓친 뒤 학교생활 전반에 자신감이 떨어졌고 진로 방향도 함께 상담받고 싶습니다.
S0096,4,4,5,5,5,1,2,콘텐츠·디자인,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0097,4,3,3,4,2,4,4,서비스|상담·복지,데이터 실무,공부한 만큼 성적이 나오지 않고 기초 내용이 부족한 것 같아 학습 방법을 상담받고 싶습니다.
S0098,4,3,2,2,2,4,5,콘텐츠·디자인|경영·마케팅,서비스 기획,수업 참여와 성적이 모두 걱정되고 현재 전공을 계속해야 할지도 고민되어 단계적인 도움이 필요합니다.
S0099,4,4,5,5,5,1,1,데이터·AI,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0100,4,2,1,3,1,4,4,콘텐츠·디자인,서비스 기획,학습 진도를 놓친 뒤 학교생활 전반에 자신감이 떨어졌고 진로 방향도 함께 상담받고 싶습니다.
S0101,4,4,5,5,4,2,2,서비스|콘텐츠·디자인,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0102,4,4,5,4,5,1,1,서비스|콘텐츠·디자인,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0103,4,4,5,5,5,2,1,콘텐츠·디자인,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0104,4,4,4,3,1,3,3,경영·마케팅|데이터·AI,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0105,4,3,4,3,1,2,5,데이터·AI|경영·마케팅,,아직 어떤 일을 하고 싶은지 정하지 못했고 지금 전공을 어떻게 진로와 연결해야 할지 잘 모르겠습니다.
S0106,4,4,5,5,5,2,1,콘텐츠·디자인|서비스,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0107,4,5,4,4,4,1,2,콘텐츠·디자인|데이터·AI,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0108,4,4,3,4,1,3,5,경영·마케팅|데이터·AI,,졸업 후 진로가 선명하지 않아 제 강점과 맞는 직무를 알아보고 싶습니다.
S0109,4,4,4,5,4,1,1,데이터·AI,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0110,4,2,2,1,3,4,4,콘텐츠·디자인,디지털 마케팅,현재 전공이 생각했던 것과 조금 다른 것 같고 다른 분야에도 관심이 있습니다. 앞으로 무엇을 공부해야 할지 고민됩니다.
S0111,4,4,3,3,3,4,5,서비스,서비스 운영,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0112,4,3,4,3,1,2,3,데이터·AI,,아직 어떤 일을 하고 싶은지 정하지 못했고 지금 전공을 어떻게 진로와 연결해야 할지 잘 모르겠습니다.
S0113,4,5,5,4,4,1,2,데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0114,4,4,4,3,2,3,3,경영·마케팅,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0115,4,3,2,3,2,5,4,경영·마케팅,,수업 참여와 성적이 모두 걱정되고 현재 전공을 계속해야 할지도 고민되어 단계적인 도움이 필요합니다.
S0116,4,4,5,5,5,1,1,콘텐츠·디자인|데이터·AI,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0117,4,5,4,5,5,1,2,데이터·AI|서비스,콘텐츠 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0118,4,3,4,3,2,4,4,서비스|상담·복지,상담 지원,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0119,4,4,3,4,1,2,3,데이터·AI|경영·마케팅,,관심 분야는 몇 가지 있지만 구체적인 희망직무가 없어 진로 탐색을 어디서 시작해야 할지 고민됩니다.
S0120,4,2,2,1,3,3,4,데이터·AI|경영·마케팅,콘텐츠 기획,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
S0121,4,5,4,5,4,1,2,콘텐츠·디자인|데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0122,4,5,5,5,4,1,1,데이터·AI,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0123,4,5,4,4,4,1,1,콘텐츠·디자인|서비스,서비스 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0124,4,5,4,4,4,1,2,데이터·AI,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0125,4,3,3,3,2,5,5,상담·복지|데이터·AI,서비스 운영,수업 내용을 이해하는 데 시간이 오래 걸려 기초부터 다시 공부해야 할지 고민됩니다.
S0126,4,1,1,1,2,4,5,콘텐츠·디자인,콘텐츠 기획,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0127,4,4,4,4,3,5,4,서비스,데이터 분석,최근 수업과 과제를 따라가는 것이 조금 버겁고 공부에 집중하기 어려운 날이 많았습니다.
S0128,4,3,4,4,3,4,5,데이터·AI,데이터 분석,강의 영상과 과제를 제때 끝내지 못하는 일이 늘어 효과적인 학습 계획이 필요합니다.
S0129,4,1,1,1,2,4,4,경영·마케팅|콘텐츠·디자인,디지털 마케팅,지금 전공을 계속 공부할지 고민 중이며 관심 있는 데이터와 디자인 분야를 어떻게 연결할지 궁금합니다.
S0130,4,4,4,5,4,2,1,콘텐츠·디자인|서비스,서비스 기획,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0131,4,4,4,4,2,5,4,데이터·AI|서비스,데이터 실무,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0132,4,4,4,4,5,1,2,서비스,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0133,4,3,3,5,5,2,4,데이터·AI|서비스,데이터 분석,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0134,4,4,5,4,5,2,2,콘텐츠·디자인,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0135,4,4,4,3,3,5,5,데이터·AI,서비스 기획,강의 영상과 과제를 제때 끝내지 못하는 일이 늘어 효과적인 학습 계획이 필요합니다.
S0136,4,3,4,4,3,4,4,데이터·AI|콘텐츠·디자인,서비스 기획,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0137,4,4,5,3,3,2,5,경영·마케팅|서비스,마케팅 기획,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0138,4,5,4,5,5,2,2,데이터·AI|서비스,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0139,4,4,5,5,4,2,3,서비스|경영·마케팅,마케팅 기획,요즘 등교와 시간 관리에 어려움이 있어 출석을 안정적으로 회복하는 데 도움이 필요합니다.
S0140,4,2,2,2,3,3,4,경영·마케팅,데이터 기획,현재 전공이 생각했던 것과 조금 다른 것 같고 다른 분야에도 관심이 있습니다. 앞으로 무엇을 공부해야 할지 고민됩니다.
S0141,4,4,5,5,4,1,2,데이터·AI|서비스,콘텐츠 기획,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0142,4,4,5,5,4,2,1,데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0143,4,3,3,4,5,3,5,데이터·AI|서비스,마케팅 기획,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0144,4,4,5,4,4,1,1,서비스,서비스 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0145,4,5,5,5,4,1,1,콘텐츠·디자인|서비스,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0146,4,3,5,3,3,2,3,경영·마케팅|데이터·AI,마케팅 기획,몇 차례 연속으로 수업에 참여하지 못해 진도를 놓칠까 걱정되고 보충 방법이 궁금합니다.
S0147,4,5,5,5,4,2,1,데이터·AI,데이터 분석,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0148,4,4,4,3,5,4,4,서비스,데이터 분석,요즘 등교와 시간 관리에 어려움이 있어 출석을 안정적으로 회복하는 데 도움이 필요합니다.
S0149,4,4,4,3,3,4,4,서비스,서비스 기획,LMS에 접속하는 횟수가 줄고 과제도 미루게 되어 학습 리듬을 되찾고 싶습니다.
S0150,4,4,5,5,5,2,2,데이터·AI|콘텐츠·디자인,데이터 분석,수업과 과제를 계획대로 수행하고 있으며 관심 분야를 조금 더 탐색해 보고 싶습니다.
S0151,4,4,5,4,5,1,1,데이터·AI|콘텐츠·디자인,콘텐츠 기획,학교생활에 큰 어려움은 없고 이번 학기에는 전공 역량을 더 탄탄히 쌓고 싶습니다.
S0152,4,4,5,5,5,1,2,콘텐츠·디자인|데이터·AI,데이터 분석,현재 수업은 대체로 잘 따라가고 있으며 앞으로도 학습 계획을 꾸준히 유지하고 싶습니다.
S0153,4,4,3,3,3,5,4,상담·복지,상담 지원,퀴즈에서 어려운 문제가 많았고 이전에 부족했던 과목까지 함께 보완할 방법이 필요합니다.
S0154,4,2,1,2,4,4,4,경영·마케팅,데이터 기획,전공 수업이 제 적성과 맞는지 확신이 없고 콘텐츠와 기획 분야도 함께 탐색해 보고 싶습니다.
